ID,Household income,Method,education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,car,Volume in lpcd,Shortest distance,Height diff
429,100000,delivered,1,3,0,75,40,9000,often,good,7000,0,0,0,0,130,223.83,1
430,100000,delivered,1,4,0,75,30,9000,often,good,7000,0,0,0,0,100,221.54,7
431,100000,delivered,1,3,0,75,40,9000,often,fair,7000,0,0,0,0,120,254.95,6
432,100000,delivered,1,4,0,75,60,9000,often,good,3000,0,0,0,0,90,256.85,3
433,60000,delivered,2,3,0,75,40,9000,not_often,fair,7000,0,0,0,0,120,304.61,2
434,70000,delivered,1,5,0,75,40,7000,not_often,fair,4000,0,0,0,0,70,322.06,7
435,70000,delivered,1,5,0,75,35,7000,often,very good,4000,0,0,0,0,70,318.11,5
436,90000,delivered,1,6,0,75,15,6000,not_often,fair,9000,0,0,0,0,60,320.63,1
437,95000,delivered,1,6,0,75,15,7000,often,good,9000,0,0,0,0,70,256.73,4
438,105000,delivered,1,4,0,75,30,9000,often,fair,7000,0,0,0,0,110,260.6,4
439,55000,delivered,1,3,0,75,40,9000,often,fair,7000,0,0,0,0,120,318.02,3
440,55000,delivered,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,120,301.88,2
441,90000,delivered,1,6,0,75,15,7000,not_often,good,9000,0,0,0,0,70,234.06,2
442,45000,delivered,1,3,0,75,40,9000,not_often,fair,7000,0,0,0,0,140,234.36,4
443,100000,delivered,1,4,0,75,15,9000,not_often,good,9000,0,0,0,0,140,132,1
444,60000,delivered,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,110,206.63,7
445,80000,delivered,1,6,0,75,15,9000,not_often,good,9000,0,0,0,0,90,138.22,4
446,85000,delivered,1,6,0,75,15,9000,not_often,good,9000,0,0,0,0,100,80.99,2
447,85000,carried,1,4,0,75,60,9000,often,good,3000,0,0,0,0,160,26.17,0
448,85000,delivered,1,6,0,75,15,9000,not_often,fair,9000,0,0,0,0,100,109.66,4
